"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-01","0.00","T,,W,",,,"35",",,W","29",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-02","0.00","T,,W,",,,"34",",,W","19",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-03","0.01",",,W,",,,"22",",,W","15",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-04","0.00",",,W,",,,"33",",,W","21",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-05","0.00","T,,W,",,,"29",",,W","20",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-06","0.00",",,W,",,,"31",",,W","23",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-07","0.00",",,W,",,,"39",",,W","25",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-08","0.04",",,W,",,,"32",",,W","22",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-09","0.00",",,W,",,,"29",",,W","15",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-10","0.00","T,,W,",,,"28",",,W","11",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-11","0.00",",,W,",,,"34",",,W","12",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-12","0.00",",,W,",,,"35",",,W","19",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-13","0.00",",,W,",,,"31",",,W","14",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-14","0.00","T,,W,",,,"41",",,W","29",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-15","0.00","T,,W,",,,"49",",,W","26",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-16","0.00",",,W,",,,"49",",,W","27",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-17","0.46",",,W,",,,"40",",,W","25",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-18","0.16",",,W,",,,"44",",,W","34",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-19","0.09",",,W,",,,"41",",,W","35",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-20","0.00",",,W,",,,"42",",,W","30",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-21","0.00","T,,W,",,,"44",",,W","23",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-22","0.00",",,W,",,,"42",",,W","22",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-23","0.00",",,W,",,,"40",",,W","21",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-24","0.00","T,,W,",,,"38",",,W","20",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-25","1.64",",,W,",,,"58",",,W","35",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-26","0.03",",,W,",,,"46",",,W","35",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-27","0.00",",,W,",,,"42",",,W","28",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-28","0.12",",,W,",,,"36",",,W","20",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-29","0.00",",,W,",,,"20",",,W","11",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-30","0.00",",,W,",,,"20",",,W","5",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-01-31","0.00",",,W,",,,"29",",,W","12",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-01","0.00",",,W,",,,"35",",,W","21",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-02","0.00","T,,W,",,,"31",",,W","17",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-03","0.04",",,W,",,,"34",",,W","25",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-04","0.00","T,,W,",,,"35",",,W","26",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-05","0.00",",,W,",,,"37",",,W","23",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-06","0.00",",,W,",,,"30",",,W","19",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-07","0.00",",,W,",,,"32",",,W","13",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-08","0.00",",,W,",,,"33",",,W","22",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-09","0.00",",,W,",,,"41",",,W","24",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-10","0.03",",,W,",,,"36",",,W","30",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-11","0.05",",,W,",,,"41",",,W","27",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-12","0.00",",,W,",,,"38",",,W","23",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-13","0.00",",,W,",,,"34",",,W","20",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-14","0.00",",,W,",,,"39",",,W","28",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-15","0.00","T,,W,",,,"42",",,W","32",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-16","0.00","T,,W,",,,"33",",,W","30",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-17","0.26",",,W,",,,"37",",,W","27",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-18","0.00",",,W,",,,"44",",,W","31",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-19","0.00",",,W,",,,"43",",,W","34",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-20","0.00",",,W,",,,"47",",,W","36",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-21","0.00",",,W,",,,"42",",,W","30",",,W"
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2010-02-22","0.00","T,,W,",,,"48",",,W","23",",,W"
