"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-01","0.00","0.0",,,"34","27"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-02","0.03","0.5",,,"33","16"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-03","0.02","0.5",,,"20","13"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-04","0.00","0.0",,,"31","18"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-05","0.00","0.0",,,"27","18"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-06","0.00","0.0",,,"29","21"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-07","0.00","0.0",,,"37","26"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-08","0.05","0.7",,,"29","21"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-09","0.00","0.0",,,"27","12"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-10","0.00","0.0",,,"27","7"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-11","0.00","0.0",,,"34","12"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-12","0.00","0.0",,,"33","16"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-13","0.00","0.0",,,"30","12"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-14","0.00","0.0",,,"40","28"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-15","0.00","0.0",,,"48","27"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-16","0.00","0.0",,,"48","26"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2010-01-17","0.61","0.0",,,"38","23"
