"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/01/2016","AQS","090031003","1","0.037","ppm","34","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/02/2016","AQS","090031003","1","0.035","ppm","32","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/03/2016","AQS","090031003","1","0.043","ppm","40","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/04/2016","AQS","090031003","1","0.039","ppm","36","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/05/2016","AQS","090031003","1","0.047","ppm","44","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/06/2016","AQS","090031003","1","0.051","ppm","47","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/07/2016","AQS","090031003","1","0.047","ppm","44","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/08/2016","AQS","090031003","1","0.04","ppm","37","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/09/2016","AQS","090031003","1","0.047","ppm","44","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/10/2016","AQS","090031003","1","0.044","ppm","41","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/11/2016","AQS","090031003","1","0.051","ppm","47","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/12/2016","AQS","090031003","1","0.04","ppm","37","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/13/2016","AQS","090031003","1","0.045","ppm","42","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/14/2016","AQS","090031003","1","0.047","ppm","44","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/15/2016","AQS","090031003","1","0.051","ppm","47","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/16/2016","AQS","090031003","1","0.052","ppm","48","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
"04/17/2016","AQS","090031003","1","0.056","ppm","54","McAuliffe Park","17","100.0000","44201","Ozone","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.7847220009374","-72.631667"
